REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
NAmerica,PWRSPVUSACE01,1,2021.0,0.0
NAmerica,PWRSPVUSACE01,1,2022.0,0.0
NAmerica,PWRSPVUSACE01,1,2023.0,0.0
NAmerica,PWRSPVUSACE01,1,2024.0,0.0
NAmerica,PWRSPVUSACE01,1,2025.0,0.0
NAmerica,PWRSPVUSACE01,1,2026.0,0.0
NAmerica,PWRSPVUSACE01,1,2027.0,0.0
NAmerica,PWRSPVUSACE01,1,2028.0,0.0
NAmerica,PWRSPVUSACE01,1,2029.0,0.0
NAmerica,PWRSPVUSACE01,1,2030.0,0.0
NAmerica,PWRSPVUSACE01,1,2031.0,0.0
NAmerica,PWRSPVUSACE01,1,2032.0,0.0
NAmerica,PWRSPVUSACE01,1,2033.0,0.0
NAmerica,PWRSPVUSACE01,1,2034.0,0.0
NAmerica,PWRSPVUSACE01,1,2035.0,0.0
NAmerica,PWRSPVUSACE01,1,2036.0,0.0
NAmerica,PWRSPVUSACE01,1,2037.0,0.0
NAmerica,PWRSPVUSACE01,1,2038.0,0.0
NAmerica,PWRSPVUSACE01,1,2039.0,0.0
NAmerica,PWRSPVUSACE01,1,2040.0,0.0
NAmerica,PWRSPVUSACE01,1,2041.0,0.0
NAmerica,PWRSPVUSACE01,1,2042.0,0.0
NAmerica,PWRSPVUSACE01,1,2043.0,0.0
NAmerica,PWRSPVUSACE01,1,2044.0,0.0
NAmerica,PWRSPVUSACE01,1,2045.0,0.0
NAmerica,PWRSPVUSACE01,1,2046.0,0.0
NAmerica,PWRSPVUSACE01,1,2047.0,0.0
NAmerica,PWRSPVUSACE01,1,2048.0,0.0
NAmerica,PWRSPVUSACE01,1,2049.0,0.0
NAmerica,PWRSPVUSACE01,1,2050.0,0.0
NAmerica,PWRSPVUSATX01,1,2019.0,0.0
NAmerica,PWRSPVUSATX01,1,2020.0,0.0
NAmerica,PWRSPVUSATX01,1,2021.0,0.0
NAmerica,PWRSPVUSATX01,1,2022.0,0.0
NAmerica,PWRSPVUSATX01,1,2023.0,0.0
NAmerica,PWRSPVUSATX01,1,2024.0,0.0
NAmerica,PWRSPVUSATX01,1,2025.0,0.0
NAmerica,PWRSPVUSATX01,1,2026.0,0.0
NAmerica,PWRSPVUSATX01,1,2027.0,0.0
NAmerica,PWRSPVUSATX01,1,2028.0,0.0
NAmerica,PWRSPVUSATX01,1,2029.0,0.0
NAmerica,PWRSPVUSATX01,1,2030.0,0.0
NAmerica,PWRSPVUSATX01,1,2031.0,0.0
NAmerica,PWRSPVUSATX01,1,2032.0,0.0
NAmerica,PWRSPVUSATX01,1,2033.0,0.0
NAmerica,PWRSPVUSATX01,1,2034.0,0.0
NAmerica,PWRSPVUSATX01,1,2035.0,0.0
NAmerica,PWRSPVUSATX01,1,2036.0,0.0
NAmerica,PWRSPVUSATX01,1,2037.0,0.0
NAmerica,PWRSPVUSATX01,1,2038.0,0.0
NAmerica,PWRSPVUSATX01,1,2039.0,0.0
NAmerica,PWRSPVUSATX01,1,2040.0,0.0
NAmerica,PWRSPVUSATX01,1,2041.0,0.0
NAmerica,PWRSPVUSATX01,1,2042.0,0.0
NAmerica,PWRSPVUSATX01,1,2043.0,0.0
NAmerica,PWRSPVUSATX01,1,2044.0,0.0
NAmerica,PWRSPVUSATX01,1,2045.0,0.0
NAmerica,PWRSPVUSATX01,1,2046.0,0.0
NAmerica,PWRSPVUSATX01,1,2047.0,0.0
NAmerica,PWRSPVUSATX01,1,2048.0,0.0
NAmerica,PWRSPVUSATX01,1,2049.0,0.0
NAmerica,PWRSPVUSATX01,1,2050.0,0.0
NAmerica,PWRSPVUSAMW01,1,2019.0,0.0
NAmerica,PWRSPVUSAMW01,1,2020.0,0.0
NAmerica,PWRSPVUSAMW01,1,2021.0,0.0
NAmerica,PWRSPVUSAMW01,1,2022.0,0.0
NAmerica,PWRSPVUSAMW01,1,2023.0,0.0
NAmerica,PWRSPVUSAMW01,1,2024.0,0.0
NAmerica,PWRSPVUSAMW01,1,2025.0,0.0
NAmerica,PWRSPVUSAMW01,1,2026.0,0.0
NAmerica,PWRSPVUSAMW01,1,2027.0,0.0
NAmerica,PWRSPVUSAMW01,1,2028.0,0.0
NAmerica,PWRSPVUSAMW01,1,2029.0,0.0
NAmerica,PWRSPVUSAMW01,1,2030.0,0.0
NAmerica,PWRSPVUSAMW01,1,2031.0,0.0
NAmerica,PWRSPVUSAMW01,1,2032.0,0.0
NAmerica,PWRSPVUSAMW01,1,2033.0,0.0
NAmerica,PWRSPVUSAMW01,1,2034.0,0.0
NAmerica,PWRSPVUSAMW01,1,2035.0,0.0
NAmerica,PWRSPVUSAMW01,1,2036.0,0.0
NAmerica,PWRSPVUSAMW01,1,2037.0,0.0
NAmerica,PWRSPVUSAMW01,1,2038.0,0.0
NAmerica,PWRSPVUSAMW01,1,2039.0,0.0
NAmerica,PWRSPVUSAMW01,1,2040.0,0.0
NAmerica,PWRSPVUSAMW01,1,2041.0,0.0
NAmerica,PWRSPVUSAMW01,1,2042.0,0.0
NAmerica,PWRSPVUSAMW01,1,2043.0,0.0
NAmerica,PWRSPVUSAMW01,1,2044.0,0.0
NAmerica,PWRSPVUSAMW01,1,2045.0,0.0
NAmerica,PWRSPVUSAMW01,1,2046.0,0.0
NAmerica,PWRSPVUSAMW01,1,2047.0,0.0
NAmerica,PWRSPVUSAMW01,1,2048.0,0.0
NAmerica,PWRSPVUSAMW01,1,2049.0,0.0
NAmerica,PWRSPVUSAMW01,1,2050.0,0.0
NAmerica,PWRSPVUSAAL01,1,2019.0,0.0
NAmerica,PWRSPVUSAAL01,1,2020.0,0.0
NAmerica,PWRSPVUSAAL01,1,2021.0,0.0
NAmerica,PWRSPVUSAAL01,1,2022.0,0.0
NAmerica,PWRSPVUSAAL01,1,2023.0,0.0
NAmerica,PWRSPVUSAAL01,1,2024.0,0.0
NAmerica,PWRSPVUSAAL01,1,2025.0,0.0
NAmerica,PWRSPVUSAAL01,1,2026.0,0.0
NAmerica,PWRSPVUSAAL01,1,2027.0,0.0
NAmerica,PWRSPVUSAAL01,1,2028.0,0.0
NAmerica,PWRSPVUSAAL01,1,2029.0,0.0
NAmerica,PWRSPVUSAAL01,1,2030.0,0.0
NAmerica,PWRSPVUSAAL01,1,2031.0,0.0
NAmerica,PWRSPVUSAAL01,1,2032.0,0.0
NAmerica,PWRSPVUSAAL01,1,2033.0,0.0
NAmerica,PWRSPVUSAAL01,1,2034.0,0.0
NAmerica,PWRSPVUSAAL01,1,2035.0,0.0
NAmerica,PWRSPVUSAAL01,1,2036.0,0.0
NAmerica,PWRSPVUSAAL01,1,2037.0,0.0
NAmerica,PWRSPVUSAAL01,1,2038.0,0.0
NAmerica,PWRSPVUSAAL01,1,2039.0,0.0
NAmerica,PWRSPVUSAAL01,1,2040.0,0.0
NAmerica,PWRSPVUSAAL01,1,2041.0,0.0
NAmerica,PWRSPVUSAAL01,1,2042.0,0.0
NAmerica,PWRSPVUSAAL01,1,2043.0,0.0
NAmerica,PWRSPVUSAAL01,1,2044.0,0.0
NAmerica,PWRSPVUSAAL01,1,2045.0,0.0
NAmerica,PWRSPVUSAAL01,1,2046.0,0.0
NAmerica,PWRSPVUSAAL01,1,2047.0,0.0
NAmerica,PWRSPVUSAAL01,1,2048.0,0.0
NAmerica,PWRSPVUSAAL01,1,2049.0,0.0
NAmerica,PWRSPVUSAAL01,1,2050.0,0.0
NAmerica,PWRSPVUSAMA01,1,2019.0,0.0
NAmerica,PWRSPVUSAMA01,1,2020.0,0.0
NAmerica,PWRSPVUSAMA01,1,2021.0,0.0
NAmerica,PWRSPVUSAMA01,1,2022.0,0.0
NAmerica,PWRSPVUSAMA01,1,2023.0,0.0
NAmerica,PWRSPVUSAMA01,1,2024.0,0.0
NAmerica,PWRSPVUSAMA01,1,2025.0,0.0
NAmerica,PWRSPVUSAMA01,1,2026.0,0.0
NAmerica,PWRSPVUSAMA01,1,2027.0,0.0
NAmerica,PWRSPVUSAMA01,1,2028.0,0.0
NAmerica,PWRSPVUSAMA01,1,2029.0,0.0
NAmerica,PWRSPVUSAMA01,1,2030.0,0.0
NAmerica,PWRSPVUSAMA01,1,2031.0,0.0
NAmerica,PWRSPVUSAMA01,1,2032.0,0.0
NAmerica,PWRSPVUSAMA01,1,2033.0,0.0
NAmerica,PWRSPVUSAMA01,1,2034.0,0.0
NAmerica,PWRSPVUSAMA01,1,2035.0,0.0
NAmerica,PWRSPVUSAMA01,1,2036.0,0.0
NAmerica,PWRSPVUSAMA01,1,2037.0,0.0
NAmerica,PWRSPVUSAMA01,1,2038.0,0.0
NAmerica,PWRSPVUSAMA01,1,2039.0,0.0
NAmerica,PWRSPVUSAMA01,1,2040.0,0.0
NAmerica,PWRSPVUSAMA01,1,2041.0,0.0
NAmerica,PWRSPVUSAMA01,1,2042.0,0.0
NAmerica,PWRSPVUSAMA01,1,2043.0,0.0
NAmerica,PWRSPVUSAMA01,1,2044.0,0.0
NAmerica,PWRSPVUSAMA01,1,2045.0,0.0
NAmerica,PWRSPVUSAMA01,1,2046.0,0.0
NAmerica,PWRSPVUSAMA01,1,2047.0,0.0
NAmerica,PWRSPVUSAMA01,1,2048.0,0.0
NAmerica,PWRSPVUSAMA01,1,2049.0,0.0
NAmerica,PWRSPVUSAMA01,1,2050.0,0.0
NAmerica,PWRSPVUSASE01,1,2019.0,0.0
NAmerica,PWRSPVUSASE01,1,2020.0,0.0
NAmerica,PWRSPVUSASE01,1,2021.0,0.0
NAmerica,PWRSPVUSASE01,1,2022.0,0.0
NAmerica,PWRSPVUSASE01,1,2023.0,0.0
NAmerica,PWRSPVUSASE01,1,2024.0,0.0
NAmerica,PWRSPVUSASE01,1,2025.0,0.0
NAmerica,PWRSPVUSASE01,1,2026.0,0.0
NAmerica,PWRSPVUSASE01,1,2027.0,0.0
NAmerica,PWRSPVUSASE01,1,2028.0,0.0
NAmerica,PWRSPVUSASE01,1,2029.0,0.0
NAmerica,PWRSPVUSASE01,1,2030.0,0.0
NAmerica,PWRSPVUSASE01,1,2031.0,0.0
NAmerica,PWRSPVUSASE01,1,2032.0,0.0
NAmerica,PWRSPVUSASE01,1,2033.0,0.0
NAmerica,PWRSPVUSASE01,1,2034.0,0.0
NAmerica,PWRSPVUSASE01,1,2035.0,0.0
NAmerica,PWRSPVUSASE01,1,2036.0,0.0
NAmerica,PWRSPVUSASE01,1,2037.0,0.0
NAmerica,PWRSPVUSASE01,1,2038.0,0.0
NAmerica,PWRSPVUSASE01,1,2039.0,0.0
NAmerica,PWRSPVUSASE01,1,2040.0,0.0
NAmerica,PWRSPVUSASE01,1,2041.0,0.0
NAmerica,PWRSPVUSASE01,1,2042.0,0.0
NAmerica,PWRSPVUSASE01,1,2043.0,0.0
NAmerica,PWRSPVUSASE01,1,2044.0,0.0
NAmerica,PWRSPVUSASE01,1,2045.0,0.0
NAmerica,PWRSPVUSASE01,1,2046.0,0.0
NAmerica,PWRSPVUSASE01,1,2047.0,0.0
NAmerica,PWRSPVUSASE01,1,2048.0,0.0
NAmerica,PWRSPVUSASE01,1,2049.0,0.0
NAmerica,PWRSPVUSASE01,1,2050.0,0.0
NAmerica,PWRSPVUSAFL01,1,2019.0,0.0
NAmerica,PWRSPVUSAFL01,1,2020.0,0.0
NAmerica,PWRSPVUSAFL01,1,2021.0,0.0
NAmerica,PWRSPVUSAFL01,1,2022.0,0.0
NAmerica,PWRSPVUSAFL01,1,2023.0,0.0
NAmerica,PWRSPVUSAFL01,1,2024.0,0.0
NAmerica,PWRSPVUSAFL01,1,2025.0,0.0
NAmerica,PWRSPVUSAFL01,1,2026.0,0.0
NAmerica,PWRSPVUSAFL01,1,2027.0,0.0
NAmerica,PWRSPVUSAFL01,1,2028.0,0.0
NAmerica,PWRSPVUSAFL01,1,2029.0,0.0
NAmerica,PWRSPVUSAFL01,1,2030.0,0.0
NAmerica,PWRSPVUSAFL01,1,2031.0,0.0
NAmerica,PWRSPVUSAFL01,1,2032.0,0.0
NAmerica,PWRSPVUSAFL01,1,2033.0,0.0
NAmerica,PWRSPVUSAFL01,1,2034.0,0.0
NAmerica,PWRSPVUSAFL01,1,2035.0,0.0
NAmerica,PWRSPVUSAFL01,1,2036.0,0.0
NAmerica,PWRSPVUSAFL01,1,2037.0,0.0
NAmerica,PWRSPVUSAFL01,1,2038.0,0.0
NAmerica,PWRSPVUSAFL01,1,2039.0,0.0
NAmerica,PWRSPVUSAFL01,1,2040.0,0.0
NAmerica,PWRSPVUSAFL01,1,2041.0,0.0
NAmerica,PWRSPVUSAFL01,1,2042.0,0.0
NAmerica,PWRSPVUSAFL01,1,2043.0,0.0
NAmerica,PWRSPVUSAFL01,1,2044.0,0.0
NAmerica,PWRSPVUSAFL01,1,2045.0,0.0
NAmerica,PWRSPVUSAFL01,1,2046.0,0.0
NAmerica,PWRSPVUSAFL01,1,2047.0,0.0
NAmerica,PWRSPVUSAFL01,1,2048.0,0.0
NAmerica,PWRSPVUSAFL01,1,2049.0,0.0
NAmerica,PWRSPVUSAFL01,1,2050.0,0.0
NAmerica,PWRSPVUSANY01,1,2019.0,0.0
NAmerica,PWRSPVUSANY01,1,2020.0,0.0
NAmerica,PWRSPVUSANY01,1,2021.0,0.0
NAmerica,PWRSPVUSANY01,1,2022.0,0.0
NAmerica,PWRSPVUSANY01,1,2023.0,0.0
NAmerica,PWRSPVUSANY01,1,2024.0,0.0
NAmerica,PWRSPVUSANY01,1,2025.0,0.0
NAmerica,PWRSPVUSANY01,1,2026.0,0.0
NAmerica,PWRSPVUSANY01,1,2027.0,0.0
NAmerica,PWRSPVUSANY01,1,2028.0,0.0
NAmerica,PWRSPVUSANY01,1,2029.0,0.0
NAmerica,PWRSPVUSANY01,1,2030.0,0.0
NAmerica,PWRSPVUSANY01,1,2031.0,0.0
NAmerica,PWRSPVUSANY01,1,2032.0,0.0
NAmerica,PWRSPVUSANY01,1,2033.0,0.0
NAmerica,PWRSPVUSANY01,1,2034.0,0.0
NAmerica,PWRSPVUSANY01,1,2035.0,0.0
NAmerica,PWRSPVUSANY01,1,2036.0,0.0
NAmerica,PWRSPVUSANY01,1,2037.0,0.0
NAmerica,PWRSPVUSANY01,1,2038.0,0.0
NAmerica,PWRSPVUSANY01,1,2039.0,0.0
NAmerica,PWRSPVUSANY01,1,2040.0,0.0
NAmerica,PWRSPVUSANY01,1,2041.0,0.0
NAmerica,PWRSPVUSANY01,1,2042.0,0.0
NAmerica,PWRSPVUSANY01,1,2043.0,0.0
NAmerica,PWRSPVUSANY01,1,2044.0,0.0
NAmerica,PWRSPVUSANY01,1,2045.0,0.0
NAmerica,PWRSPVUSANY01,1,2046.0,0.0
NAmerica,PWRSPVUSANY01,1,2047.0,0.0
NAmerica,PWRSPVUSANY01,1,2048.0,0.0
NAmerica,PWRSPVUSANY01,1,2049.0,0.0
NAmerica,PWRSPVUSANY01,1,2050.0,0.0
NAmerica,PWRSPVUSANE01,1,2019.0,0.0
NAmerica,PWRSPVUSANE01,1,2020.0,0.0
NAmerica,PWRSPVUSANE01,1,2021.0,0.0
NAmerica,PWRSPVUSANE01,1,2022.0,0.0
NAmerica,PWRSPVUSANE01,1,2023.0,0.0
NAmerica,PWRSPVUSANE01,1,2024.0,0.0
NAmerica,PWRSPVUSANE01,1,2025.0,0.0
NAmerica,PWRSPVUSANE01,1,2026.0,0.0
NAmerica,PWRSPVUSANE01,1,2027.0,0.0
NAmerica,PWRSPVUSANE01,1,2028.0,0.0
NAmerica,PWRSPVUSANE01,1,2029.0,0.0
NAmerica,PWRSPVUSANE01,1,2030.0,0.0
NAmerica,PWRSPVUSANE01,1,2031.0,0.0
NAmerica,PWRSPVUSANE01,1,2032.0,0.0
NAmerica,PWRSPVUSANE01,1,2033.0,0.0
NAmerica,PWRSPVUSANE01,1,2034.0,0.0
NAmerica,PWRSPVUSANE01,1,2035.0,0.0
NAmerica,PWRSPVUSANE01,1,2036.0,0.0
NAmerica,PWRSPVUSANE01,1,2037.0,0.0
NAmerica,PWRSPVUSANE01,1,2038.0,0.0
NAmerica,PWRSPVUSANE01,1,2039.0,0.0
NAmerica,PWRSPVUSANE01,1,2040.0,0.0
NAmerica,PWRSPVUSANE01,1,2041.0,0.0
NAmerica,PWRSPVUSANE01,1,2042.0,0.0
NAmerica,PWRSPVUSANE01,1,2043.0,0.0
NAmerica,PWRSPVUSANE01,1,2044.0,0.0
NAmerica,PWRSPVUSANE01,1,2045.0,0.0
NAmerica,PWRSPVUSANE01,1,2046.0,0.0
NAmerica,PWRSPVUSANE01,1,2047.0,0.0
NAmerica,PWRSPVUSANE01,1,2048.0,0.0
NAmerica,PWRSPVUSANE01,1,2049.0,0.0
NAmerica,PWRSPVUSANE01,1,2050.0,0.0
NAmerica,PWRURNUSANW01,1,2019.0,2.649
NAmerica,PWRURNUSANW01,2,2019.0,2.649
NAmerica,PWRURNUSANW01,1,2020.0,2.649
NAmerica,PWRURNUSANW01,2,2020.0,2.649
NAmerica,PWRURNUSANW01,1,2021.0,2.649
NAmerica,PWRURNUSANW01,2,2021.0,2.649
NAmerica,PWRURNUSANW01,1,2022.0,2.649
NAmerica,PWRURNUSANW01,2,2022.0,2.649
NAmerica,PWRURNUSANW01,1,2023.0,2.649
NAmerica,PWRURNUSANW01,2,2023.0,2.649
NAmerica,PWRURNUSANW01,1,2024.0,2.649
NAmerica,PWRURNUSANW01,2,2024.0,2.649
NAmerica,PWRURNUSANW01,1,2025.0,2.649
NAmerica,PWRURNUSANW01,2,2025.0,2.649
NAmerica,PWRURNUSANW01,1,2026.0,2.649
NAmerica,PWRURNUSANW01,2,2026.0,2.649
NAmerica,PWRURNUSANW01,1,2027.0,2.649
NAmerica,PWRURNUSANW01,2,2027.0,2.649
NAmerica,PWRURNUSANW01,1,2028.0,2.649
NAmerica,PWRURNUSANW01,2,2028.0,2.649
NAmerica,PWRURNUSANW01,1,2029.0,2.649
NAmerica,PWRURNUSANW01,2,2029.0,2.649
NAmerica,PWRURNUSANW01,1,2030.0,2.649
NAmerica,PWRURNUSANW01,2,2030.0,2.649
NAmerica,PWRURNUSANW01,1,2031.0,2.649
NAmerica,PWRURNUSANW01,2,2031.0,2.649
NAmerica,PWRURNUSANW01,1,2032.0,2.649
NAmerica,PWRURNUSANW01,2,2032.0,2.649
NAmerica,PWRURNUSANW01,1,2033.0,2.649
NAmerica,PWRURNUSANW01,2,2033.0,2.649
NAmerica,PWRURNUSANW01,1,2034.0,2.649
NAmerica,PWRURNUSANW01,2,2034.0,2.649
NAmerica,PWRURNUSANW01,1,2035.0,2.649
NAmerica,PWRURNUSANW01,2,2035.0,2.649
NAmerica,PWRURNUSANW01,1,2036.0,2.649
NAmerica,PWRURNUSANW01,2,2036.0,2.649
NAmerica,PWRURNUSANW01,1,2037.0,2.649
NAmerica,PWRURNUSANW01,2,2037.0,2.649
NAmerica,PWRURNUSANW01,1,2038.0,2.649
NAmerica,PWRURNUSANW01,2,2038.0,2.649
NAmerica,PWRURNUSANW01,1,2039.0,2.649
NAmerica,PWRURNUSANW01,2,2039.0,2.649
NAmerica,PWRURNUSANW01,1,2040.0,2.649
NAmerica,PWRURNUSANW01,2,2040.0,2.649
NAmerica,PWRURNUSANW01,1,2041.0,2.649
NAmerica,PWRURNUSANW01,2,2041.0,2.649
NAmerica,PWRURNUSANW01,1,2042.0,2.649
NAmerica,PWRURNUSANW01,2,2042.0,2.649
NAmerica,PWRURNUSANW01,1,2043.0,2.649
NAmerica,PWRURNUSANW01,2,2043.0,2.649
NAmerica,PWRURNUSANW01,1,2044.0,2.649
NAmerica,PWRURNUSANW01,2,2044.0,2.649
NAmerica,PWRURNUSANW01,1,2045.0,2.649
NAmerica,PWRURNUSANW01,2,2045.0,2.649
NAmerica,PWRURNUSANW01,1,2046.0,2.649
NAmerica,PWRURNUSANW01,2,2046.0,2.649
NAmerica,PWRURNUSANW01,1,2047.0,2.649
NAmerica,PWRURNUSANW01,2,2047.0,2.649
NAmerica,PWRURNUSANW01,1,2048.0,2.649
NAmerica,PWRURNUSANW01,2,2048.0,2.649
NAmerica,PWRURNUSANW01,1,2049.0,2.649
NAmerica,PWRURNUSANW01,2,2049.0,2.649
NAmerica,PWRURNUSANW01,1,2050.0,2.649
NAmerica,PWRURNUSANW01,2,2050.0,2.649
NAmerica,PWRURNUSACA01,1,2019.0,2.649
NAmerica,PWRURNUSACA01,2,2019.0,2.649
NAmerica,PWRURNUSACA01,1,2020.0,2.649
NAmerica,PWRURNUSACA01,2,2020.0,2.649
NAmerica,PWRURNUSACA01,1,2021.0,2.649
NAmerica,PWRURNUSACA01,2,2021.0,2.649
NAmerica,PWRURNUSACA01,1,2022.0,2.649
NAmerica,PWRURNUSACA01,2,2022.0,2.649
NAmerica,PWRURNUSACA01,1,2023.0,2.649
NAmerica,PWRURNUSACA01,2,2023.0,2.649
NAmerica,PWRURNUSACA01,1,2024.0,2.649
NAmerica,PWRURNUSACA01,2,2024.0,2.649
NAmerica,PWRURNUSACA01,1,2025.0,2.649
NAmerica,PWRURNUSACA01,2,2025.0,2.649
NAmerica,PWRURNUSACA01,1,2026.0,2.649
NAmerica,PWRURNUSACA01,2,2026.0,2.649
NAmerica,PWRURNUSACA01,1,2027.0,2.649
NAmerica,PWRURNUSACA01,2,2027.0,2.649
NAmerica,PWRURNUSACA01,1,2028.0,2.649
NAmerica,PWRURNUSACA01,2,2028.0,2.649
NAmerica,PWRURNUSACA01,1,2029.0,2.649
NAmerica,PWRURNUSACA01,2,2029.0,2.649
NAmerica,PWRURNUSACA01,1,2030.0,2.649
NAmerica,PWRURNUSACA01,2,2030.0,2.649
NAmerica,PWRURNUSACA01,1,2031.0,2.649
NAmerica,PWRURNUSACA01,2,2031.0,2.649
NAmerica,PWRURNUSACA01,1,2032.0,2.649
NAmerica,PWRURNUSACA01,2,2032.0,2.649
NAmerica,PWRURNUSACA01,1,2033.0,2.649
NAmerica,PWRURNUSACA01,2,2033.0,2.649
NAmerica,PWRURNUSACA01,1,2034.0,2.649
NAmerica,PWRURNUSACA01,2,2034.0,2.649
NAmerica,PWRURNUSACA01,1,2035.0,2.649
NAmerica,PWRURNUSACA01,2,2035.0,2.649
NAmerica,PWRURNUSACA01,1,2036.0,2.649
NAmerica,PWRURNUSACA01,2,2036.0,2.649
NAmerica,PWRURNUSACA01,1,2037.0,2.649
NAmerica,PWRURNUSACA01,2,2037.0,2.649
NAmerica,PWRURNUSACA01,1,2038.0,2.649
NAmerica,PWRURNUSACA01,2,2038.0,2.649
NAmerica,PWRURNUSACA01,1,2039.0,2.649
NAmerica,PWRURNUSACA01,2,2039.0,2.649
NAmerica,PWRURNUSACA01,1,2040.0,2.649
NAmerica,PWRURNUSACA01,2,2040.0,2.649
NAmerica,PWRURNUSACA01,1,2041.0,2.649
NAmerica,PWRURNUSACA01,2,2041.0,2.649
NAmerica,PWRURNUSACA01,1,2042.0,2.649
NAmerica,PWRURNUSACA01,2,2042.0,2.649
NAmerica,PWRURNUSACA01,1,2043.0,2.649
NAmerica,PWRURNUSACA01,2,2043.0,2.649
NAmerica,PWRURNUSACA01,1,2044.0,2.649
NAmerica,PWRURNUSACA01,2,2044.0,2.649
NAmerica,PWRURNUSACA01,1,2045.0,2.649
NAmerica,PWRURNUSACA01,2,2045.0,2.649
NAmerica,PWRURNUSACA01,1,2046.0,2.649
NAmerica,PWRURNUSACA01,2,2046.0,2.649
NAmerica,PWRURNUSACA01,1,2047.0,2.649
NAmerica,PWRURNUSACA01,2,2047.0,2.649
NAmerica,PWRURNUSACA01,1,2048.0,2.649
NAmerica,PWRURNUSACA01,2,2048.0,2.649
NAmerica,PWRURNUSACA01,1,2049.0,2.649
NAmerica,PWRURNUSACA01,2,2049.0,2.649
NAmerica,PWRURNUSACA01,1,2050.0,2.649
NAmerica,PWRURNUSACA01,2,2050.0,2.649
NAmerica,PWRURNUSAMN01,1,2019.0,2.649
NAmerica,PWRURNUSAMN01,2,2019.0,2.649
NAmerica,PWRURNUSAMN01,1,2020.0,2.649
NAmerica,PWRURNUSAMN01,2,2020.0,2.649
NAmerica,PWRURNUSAMN01,1,2021.0,2.649
NAmerica,PWRURNUSAMN01,2,2021.0,2.649
NAmerica,PWRURNUSAMN01,1,2022.0,2.649
NAmerica,PWRURNUSAMN01,2,2022.0,2.649
NAmerica,PWRURNUSAMN01,1,2023.0,2.649
NAmerica,PWRURNUSAMN01,2,2023.0,2.649
NAmerica,PWRURNUSAMN01,1,2024.0,2.649
NAmerica,PWRURNUSAMN01,2,2024.0,2.649
NAmerica,PWRURNUSAMN01,1,2025.0,2.649
NAmerica,PWRURNUSAMN01,2,2025.0,2.649
NAmerica,PWRURNUSAMN01,1,2026.0,2.649
NAmerica,PWRURNUSAMN01,2,2026.0,2.649
NAmerica,PWRURNUSAMN01,1,2027.0,2.649
NAmerica,PWRURNUSAMN01,2,2027.0,2.649
NAmerica,PWRURNUSAMN01,1,2028.0,2.649
NAmerica,PWRURNUSAMN01,2,2028.0,2.649
NAmerica,PWRURNUSAMN01,1,2029.0,2.649
NAmerica,PWRURNUSAMN01,2,2029.0,2.649
NAmerica,PWRURNUSAMN01,1,2030.0,2.649
NAmerica,PWRURNUSAMN01,2,2030.0,2.649
NAmerica,PWRURNUSAMN01,1,2031.0,2.649
NAmerica,PWRURNUSAMN01,2,2031.0,2.649
NAmerica,PWRURNUSAMN01,1,2032.0,2.649
NAmerica,PWRURNUSAMN01,2,2032.0,2.649
NAmerica,PWRURNUSAMN01,1,2033.0,2.649
NAmerica,PWRURNUSAMN01,2,2033.0,2.649
NAmerica,PWRURNUSAMN01,1,2034.0,2.649
NAmerica,PWRURNUSAMN01,2,2034.0,2.649
NAmerica,PWRURNUSAMN01,1,2035.0,2.649
NAmerica,PWRURNUSAMN01,2,2035.0,2.649
NAmerica,PWRURNUSAMN01,1,2036.0,2.649
NAmerica,PWRURNUSAMN01,2,2036.0,2.649
NAmerica,PWRURNUSAMN01,1,2037.0,2.649
NAmerica,PWRURNUSAMN01,2,2037.0,2.649
NAmerica,PWRURNUSAMN01,1,2038.0,2.649
NAmerica,PWRURNUSAMN01,2,2038.0,2.649
NAmerica,PWRURNUSAMN01,1,2039.0,2.649
NAmerica,PWRURNUSAMN01,2,2039.0,2.649
NAmerica,PWRURNUSAMN01,1,2040.0,2.649
NAmerica,PWRURNUSAMN01,2,2040.0,2.649
NAmerica,PWRURNUSAMN01,1,2041.0,2.649
NAmerica,PWRURNUSAMN01,2,2041.0,2.649
NAmerica,PWRURNUSAMN01,1,2042.0,2.649
NAmerica,PWRURNUSAMN01,2,2042.0,2.649
NAmerica,PWRURNUSAMN01,1,2043.0,2.649
NAmerica,PWRURNUSAMN01,2,2043.0,2.649
NAmerica,PWRURNUSAMN01,1,2044.0,2.649
NAmerica,PWRURNUSAMN01,2,2044.0,2.649
NAmerica,PWRURNUSAMN01,1,2045.0,2.649
NAmerica,PWRURNUSAMN01,2,2045.0,2.649
NAmerica,PWRURNUSAMN01,1,2046.0,2.649
NAmerica,PWRURNUSAMN01,2,2046.0,2.649
NAmerica,PWRURNUSAMN01,1,2047.0,2.649
NAmerica,PWRURNUSAMN01,2,2047.0,2.649
NAmerica,PWRURNUSAMN01,1,2048.0,2.649
NAmerica,PWRURNUSAMN01,2,2048.0,2.649
NAmerica,PWRURNUSAMN01,1,2049.0,2.649
NAmerica,PWRURNUSAMN01,2,2049.0,2.649
NAmerica,PWRURNUSAMN01,1,2050.0,2.649
NAmerica,PWRURNUSAMN01,2,2050.0,2.649
NAmerica,PWRURNUSASW01,1,2019.0,2.649
NAmerica,PWRURNUSASW01,2,2019.0,2.649
NAmerica,PWRURNUSASW01,1,2020.0,2.649
